ID,Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kod pocztowy,Miasto,Ulica,Numer,Koordynaty GPS,X,Y,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?
11,Krakowska,Kaczeńcowa 7,małopolskie,"Ul. Kaczeńcowa 7, 31-831 Kraków",,,,,,,,dominika.dabrowska-hojnor@zhp.net.pl,00 48 609 490 676,cały rok,obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,Miasto;,"Ośrodek K7 położony jest w mieście, na terenach zielonych, nad ekologicznym stawem,  blisko komunikacji miejskiej, do centrum Krakowa 20 min.",budynek;,pełny węzeł sanitarny w hostelu;ciepła woda;,hosel;,,"23 miejsca noclegowe w komfortowych pokojach, dostęp do harcówki i sali konferencyjnej oraz w pełni wyposażonej kuchni, teren ogrodzony, miejsca parkingowe na terenie.
FB https://www.facebook.com/pg/Kaczeńcowa-7-1060456614092055/about/?ref=page_internal",tak
12,Podkarpacka,"Ośrodek Szkoleniowo-Wypoczynkowy ""Bieszczadzki Trakt""",podkarpackie,"38-700, Ustrzyki Dolne, ul. Korczaka 11",,,,,jest na mapach google,,,biuro@bieszczadzkitrakt.pl,513014554,cały rok,"szkolenia, kursy, seminaria;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;",w mieście;nad rzeką;,"Baza zlokalizowana blisko centrum Ustrzyk Dolnych. Z przepiękną panoramą na góry:  Mały Król, Laworta oraz Gromadzyń.  Tuż obok bazy przepływa rzeka Strwiąż. Najbliższa ściana lasu zaczyna się już kilkaset metrów od ośrodka. Ustrzyki są bardzo bogate i różnorodne turystycznie, a okoliczne lasy to doskonałe miejsce na gry, zwiady, wędrówki i zabawy. ",budynek;,toalety murowane;krany;prysznice;ciepła woda;,"sprzęt nagłaśniający, projektor;opieka medyczna;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;",świetlica w budynku;,"Baza posiada 13 pokoi z łóżkami pojedynczymi i piętrowymi.  10 pokoi jest z własną łazienką, pozostałe 3 z łazienkami na korytarzu. Ośrodek mieści 50 osób. Dysponujemy pokojami 1,2,4,6 i 8 osobowymi z możliwością przestawiania łóżek. ",tak
13,Wielkopolska,"Ośrodek Biwakowo-Obozowy Hufca ""PIAST"" Poznań Stare Miasto",wielkopolskie,"62-022 Rogalinek, ul. Północna 25, leśnictwo Sasinowo",,,,,"52.266636, 16.881438",,,rogalinek@zhp.wlkp.pl,603 916 036,cały rok,Zielone Szkoły;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;,"Baza zlokalizowana jest na obrzeżu Rogalińskiego Parku Krajobrazowego, na terenie znajduje się las sosnowy, dodatkowo jest możliwość rozbicia obozu na 20-30 osób",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość dostosowania menu;internet dostępny dla kadry;prąd dla obozów;,Laser tag - laserowy paintball;boisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Ilość miejsc w budynkach: 50 + 20, całodzienne wyżywienie",tak
14,Łódzka,Baza Hufca ZHP Łódź Widzew ,zachodniopomorskie,76-107 Jarosławiec  ul Sosnowa 36,,,,,,,,Sekretariat@zhpwidzew.pl,602813914,w sezonie letnim,obóz/kolonia;,w lesie;nad morzem;,"Miejsce dla obozowisk w lesie.Zaplecze  kuchenne,sanitarne ,sportowe teren otwarty.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;prąd dla obozów;,boisko;krąg ogniskowy;zadaszona świetlica;,,nie
15,Dolnośląska,"Harcerska Baza Obozowa ""Krzeczków""",lubuskie,"66-232 Mostki, leśnictwo Krzeczkowo",,,,,"52°13'45.8""N 15°24'37.5""E",,,krzeczkow@wroclaw.zhp.pl,+48 669 422 222,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza Hufca ZHP Wrocław im. Polonii Wrocławskiej położona jest nad jeziorem Niesłysz (powierzchnia 515 ha, max. głębokość 39,5m) na Pojezierzu Lubuskim w okolicach Świebodzina. Jezioro Niesłysz jest jedynym z największych i najczystszych jezior tego regionu. 

Na powierzchni 30 ha zalesionego, dzikiego terenu, stawiamy na 10 wyznaczonych do tego celu miejscach harcerskie obozowiska. Sami możecie wybrać czy wolicie słoneczny las iglasty, czy też piękny, migocący cieniami las liściasty. Do jeziora dojdziecie w trzy minuty, tam czeka na Was przygotowana plaża, kąpielisko, pomosty i ponad 500 hektarów jeziora. 

Pierwsza klasa czystości wody stwarza wspaniałe warunki do kąpieli. Baza posiada pomost kąpielowy ze strzeżonym kąpieliskiem. Duży akwen sprzyja uprawianiu żeglarstwa, windsurfingu, nurkowania i dlatego też Hufiec organizuje obozy specjalnościowe o tym charakterze.

Teren bazy porośnięty jest lasem sosnowym i bukowym. Najbliższe okolice obfitują w zwierzynę i runo leśne. Bogactwo flory i fauny to bez wątpienia zasługa czystych wód i powietrza. Na terenie tym występuje wiele gatunków ptaków (między innymi orzeł bielik, kormorany) oraz różnorodność ryb słodkowodnych. 
Czystość wody i dobry program to atuty, które sprzyjają atrakcyjnemu wypoczynkowi, wielu harcerzy już się o tym przekonało. I Ty możesz do nich dołączyć. 
Nasza baza oferuje 350 miejsc noclegowych w 10 miejscach obozowych na jej terenie. Istnieje możliwość organizacji wycieczek, spływów kajakowych, przejażdżek konnych i bryczką oraz wycieczek rowerowych oraz rejsów żaglówkami. 
Do atrakcji okolicy należą przeznaczone do zwiedzania podziemne konstrukcje Międzyrzeckiego Rejonu Umocnionego, stare pocysterskie opactwo w Paradyżu, rezerwat nietoperzy w Nietoperku oraz okoliczne urokliwe miasteczka - Międzyrzecz czy Łagów - ze swymi zabytkami.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;sklepik;prąd dla obozów;,kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"U nas zorganizujesz obóz drużyny, szczepu, hufca, kolonię zuchową, kolonie młodzieżową. Krzeczków to magiczne, idealne miejsce do zorganizowania prawdziwego obozu harcerskiego, idealne warunki powodują, że nie trudno tu o klimat obozowej przygody i niepowtarzalnego przeżycia. Na naszej Bazie organizowane są od lat obozy żeglarskie HOW ""Rancho"", survivalowe ""SAS"" fundacji Hobbit oraz kolonie młodzieżowe Biura turystycznego Geoda 

Na naszej bazie staramy się wyjść naprzeciw waszym oczekiwaniom. Wiemy jak trudno jest znaleźć odpowiedni termin obozu by pasował wychowawcom i pokrył się ze sztywnymi terminami turnusów. Dokładamy wszelkich starań by na naszą bazę mógł przyjechać KAŻDY dlatego zrezygnowaliśmy ustalonych terminów i zapraszamy wszystkich od 27 czerwca do 17 sierpnia. Dzwońcie, piszcie, a ustalimy pasujący wam termin i wybierzemy odpowiednie miejsce obozowe!",tak
16,Dolnośląska,Siedziba Hufca ZHP Wrocław im. Polonii Wrocławskiej,dolnośląskie,"pl. Św. Macieja 5a/3, 50-244 Wrocław",,,,,"51°07'11.0""N 17°02'14.6""E",,,wroclaw@zhp.pl,+48 669 422 222,cały rok,biwak/rajd/weekendowe kursy;,w centrum miasta;,Siedziba Hufca ZHP Wrocław im. Polonii Wrocławskiej mieści się 5 min. drogie pieszo od Wrocławskiego Rynku. W  okolicy znajdują się sklepy spożywcze i lokale gastronomiczne. Siedziba Hufca sporej ilości pomieszczeń jest wstanie przyjąć dużą grupę osób.,budynek;,toalety murowane;krany;prysznice;ciepła woda;,internet dostępny dla kadry;prąd dla obozów;,świetlica w budynku;,"W siedzibie Hufca ZHP Wrocław im. Polonii Wrocławskiej mieści się: toaleta z ciepłą wodą i prysznicem, kuchnia z podstawowym wyposażeniem kuchennym, duża sala kominkowa i dwa mniejsze pomieszczenia np. do prowadzenia zajęć. Dla korzystających dostępne są lateksy do spania. Siedziba Hufca Wrocław jest ogrzewana i posiada niezależne wejście.",tak
17,Wielkopolska,Baza obozowa PATELNIA,zachodniopomorskie,72-513 WISEŁKA ul. Łąkowa 11 a  Kołczewo,,,,,,,,grunwald@zhp.wlkp.pl,603-928 238,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;nad morzem;,las mieszany - 3 małe obozy,domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,kąpielisko;krąg ogniskowy;świetlica w budynku;,,tak
18,Krakowska,Letnia Stanica Obozowa ZHP Hufca Wieliczka,pomorskie,82-103 Stegna; Jantar Leśniczówka,,,,,,,,wieliczka@zhp.pl; obóz@wieliczka.zhp.pl,601987377; 607594544,w sezonie letnim,obóz/kolonia;,Otulina parku krajobrazowego Mierzeja Wiślana;w lesie;,"Teren obozu znajduje się na polanie wielkości 0,5 ha, otoczonej lasem. Miejsce do rozstawienia namiotów dla czterech  40 osobowych obozów.",namioty (baza udostępnia własne namioty);,prysznice pod namiotem;toalety przenośne (np. toi-toi);krany;ciepła woda;,opieka medyczna;ratownik wodny;możliwość pełnienia służby pomocniczej w kuchni;prąd dla obozów;,kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Stanica jest rokrocznie stawiana na wynajętym od Lasów Państwowych terenie. Całość zabudowy stanowią namioty 6-cio lub 10-cio osobowe wysokie. Kuchnia obozowa zlokalizowana jedynie w stawianym rokrocznie baraku dobrze wyposażona, spełniająca warunki sanitarne. Stołówka i świetlica zlokalizowana w namiocie o powierzchni 48 m2. Woda i energia elektryczna do funkcjonowania stanicy podłączona z sąsiadującego z terenem Gospodarstwa Rolnego. Istnieje możliwość z korzystania z boisk i placu zabaw na Osiedlu Jantar Leśniczówka - 300 m od terenu obozowania. Plaża i miejsce czasowo przeznaczone do kąpieli w odległości 1,5 km.",tak
19,Łódzka,Stanica Harcerska Biały Brzeg,śląskie,"29-120 Kluczewsko, leśnictwo Wymysłów ",,,,,,,,radomsko@zhp.pl,501 899 353 / 44 683 24 66 ,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;,"Stanica Harcerska Biały Brzeg to około 6 ha leśnego terenu na którym znajdują się 3 pawilony, murowane sanitariaty oraz domki. Baza posiada miejsca zarówno dla wielu małych obozów, jak i kilku dużych. ",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;prąd dla obozów;,boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Stanica Harcerska Biały Brzeg znajduje się na terenie Przedborskiego Parku Krajobrazowego, w rejonie najwyższych wzniesień pasma Przedborsko-Małogoskiego: Fajnej Ryby, Kozłowej Góry oraz Bukowej Góry.
Jest to obiekt należący do Hufca ZHP Radomsko im. Szarych Szeregów Rój ""Metal""
Adres strony internetowej bazy: www.bialybrzeg.pl ",tak
20,Śląska,Harcerski Ośrodek Wypoczynkowy Hufca ZHP Chorzów w Kucobach,opolskie,"46-300  Olesno
Kucoby 35",,,,,,,,chorzow@zhp.pl,34-3597828,cały rok,obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,w lesie;,"Ośrodek położony jest w brzozowo - sosnowym lesie, o własnym mikroklimacie, na obszarze nie skażonym przemysłem. Otaczające lasy charakteryzują się bogatym runem, a sam ośrodek dysponuje własnym ujęciem czystej, na bieżąco badanej  wody. Ośrodek funkcjonuje przez cały rok.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,basen;boisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,www.kucoby.zhp.pl,nie
21,Wielkopolska,Baza Obozowa Hufca ZHP Mosina w Lubniewicach,lubuskie,"69-210 Lubniewice, Spacerowa, nadleśnictwo Lubniewice",,,,,"52°30'45.9""N 15°12'57.0""E",,,paulina.ludwiczak@zhp.net.pl,880228799,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Doskonały teren na gry i rajdy - pagórki, stary nasyp kolejowy, tereny podmokłe. Urocze cyple, przesmyki rzeczne i uroczysko sprawią, że każde przyrzeczenie harcerskie i zobowiązanie instruktorskie będzie nadzwyczajne. Las mieszany z przewagą drzew iglastych, miejsce dla obozów ok. 200 osób, w podobozach małych i dużych.","zapewniamy kanadyjki, materace, koce, półki, podłogi;namioty (baza udostępnia własne namioty);",toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,pełna obsługa gospodarcza i kuchenna;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,"Możliwość spotkania ze strażą pożarną, nadleśnictwem w ramach zajęć z pierwszej pomocy czy bezpieczeństwa.;kąpielisko;krąg ogniskowy;zadaszona świetlica;","Atrakcje - do centrum miasta Lubniewice jest ok. 3km. Nowością są gry terenowe po Lubniewicach - Lubniewicki Szlak Tradycji Kulturowych oraz Szlak Lubniewickich Legend. W mieście znajdują się sklepy z pamiątkami, apteka, poczta, bank, kościół, straż pożarna, policja. Atrakcją jest Zamek Książąt Lubomirskich, Park Miłości im. dr Michaliny Wisłockiej, Fontanna Dobrosąsiedztwa. W mieście znajduje się również stadnina koni czy wypożyczalnia rowerów. Jezioro Lubiąż dostarcza wiele możliwości - wypożyczenie kajaków, rowerów wodnych, łódek, a przede wszystkim połowy ryb. Dookoła miasta i lubniewickich jezior wytyczone są liczne szlaki turystyczne - piesze i rowerowe. Park Dinozaurów w Nowinach Wielkich - 20km, Park Narodowy Ujście Warty w Słońsku - 30km, Międzyrzecki Rejon Umocniony - Pętla Boryszyńska - 30km, Gorzów Wielkopolski z zabytkową katedrą - 30km, Twierdza w Kostrzynie nad Odrą - 50km, Berlin - 150km.",tak
